year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1928,7.9,8.8,9.0,12.0,14.8,17.1,21.1,19.5,17.6,13.6,10.5,6.2,6.76,11.9,19.24,13.88,13.16
1929,3.5,2.8,11.7,10.5,15.8,17.6,20.8,19.6,20.7,13.1,9.7,8.0,4.20,12.7,19.36,14.49,12.89
1930,8.1,4.8,8.6,11.3,14.6,19.8,19.0,20.0,17.0,13.6,9.4,6.6,7.06,11.48,19.58,13.33,12.77
1931,5.8,6.3,7.6,10.9,15.1,18.1,18.9,18.0,15.2,12.9,10.2,7.6,6.22,11.23,18.33,12.78,12.26
1932,8.7,5.8,8.4,10.2,13.6,18.5,19.6,21.4,17.0,12.1,8.9,7.6,7.41,10.73,19.86,12.67,12.69
1933,4.9,6.9,11.6,13.1,16.0,20.1,22.4,22.7,19.6,13.3,8.1,3.6,6.47,13.53,21.73,13.68,13.55
1934,7.0,7.1,8.4,11.5,15.9,19.6,23.2,19.8,19.0,13.5,8.5,9.7,5.88,11.94,20.86,13.66,13.64
1935,6.6,8.2,9.8,11.5,14.4,19.0,22.2,21.8,17.4,12.8,9.4,5.2,8.17,11.91,21.03,13.2,13.23
1936,6.1,5.1,9.7,10.0,15.6,18.8,18.7,20.4,17.7,13.0,8.5,7.8,5.48,11.78,19.31,13.1,12.66
1937,7.4,7.9,6.5,12.1,16.1,18.4,19.8,21.5,17.6,13.8,8.2,5.2,7.72,11.54,19.91,13.21,12.9
1938,8.0,7.4,13.3,12.1,14.7,18.5,19.0,20.0,17.6,13.5,11.7,6.4,6.85,13.4,19.2,14.27,13.57
1939,6.4,8.3,8.7,12.6,15.6,18.7,19.0,20.5,18.0,11.7,11.0,5.4,7.00,12.27,19.41,13.53,13.0
1940,1.8,4.6,9.5,12.2,17.4,21.7,19.2,20.1,17.5,12.9,9.6,6.3,3.93,13.02,20.33,13.3,12.74
1941,2.5,5.9,8.4,9.9,13.2,19.5,22.1,18.5,18.3,13.7,9.2,7.9,4.86,10.52,20.05,13.72,12.46
1942,3.3,2.7,8.1,13.1,15.4,19.4,19.5,20.3,17.7,13.9,8.1,8.7,4.70,12.22,19.75,13.25,12.58
1943,7.1,8.8,10.8,14.9,16.8,18.5,20.8,19.9,17.2,14.3,8.9,6.1,8.19,14.12,19.76,13.47,13.7
1944,8.5,5.9,9.0,14.0,16.1,17.4,19.8,21.5,16.4,12.2,9.0,6.0,6.84,13.05,19.57,12.54,13.01
1945,3.0,9.9,11.9,14.5,16.5,18.5,20.7,19.9,17.6,15.3,9.7,7.4,6.17,14.29,19.72,14.22,13.76
1946,5.6,8.3,8.8,14.5,14.6,17.0,20.4,18.4,17.1,12.6,10.4,5.7,7.07,12.59,18.61,13.35,12.79
1947,4.3,0.1,6.3,12.2,17.6,19.7,20.8,24.0,19.4,14.8,9.9,7.4,3.48,12.06,21.52,14.72,13.13
1948,7.6,7.0,12.6,13.4,16.2,17.3,19.5,18.6,17.4,13.5,10.0,8.1,7.36,14.06,18.48,13.65,13.47
1949,7.9,9.0,8.3,14.1,15.5,19.9,22.2,21.5,20.4,15.2,9.2,8.2,8.30,12.6,21.19,14.93,14.29
1950,6.4,8.4,11.2,11.3,14.9,20.8,19.9,19.7,16.3,12.9,8.4,3.3,7.61,12.49,20.13,12.54,12.81
1951,6.1,6.1,7.1,10.7,13.5,18.1,20.7,18.6,17.7,13.4,10.8,8.1,5.13,10.42,19.15,13.96,12.61
1952,5.2,6.2,9.3,13.7,17.4,18.7,20.8,20.0,14.7,12.2,6.7,5.6,6.54,13.47,19.86,11.18,12.57
1953,5.5,6.8,10.2,11.3,16.8,17.8,19.3,20.4,17.7,13.5,10.7,9.0,5.95,12.79,19.16,13.95,13.29
1954,5.2,5.0,8.8,11.8,15.1,16.8,17.5,18.0,16.5,14.8,9.9,8.8,6.42,11.91,17.45,13.74,12.39
1955,4.8,3.8,6.7,13.3,13.5,17.5,22.3,22.5,18.4,13.1,9.7,8.4,5.87,11.13,20.78,13.75,12.89
1956,6.1,2.5,9.5,10.7,16.8,16.8,19.2,17.1,17.5,12.9,8.6,7.8,5.75,12.37,17.7,13.02,12.17
1957,7.9,8.0,12.1,12.6,14.6,20.4,19.9,19.0,15.8,14.1,8.6,7.0,7.90,13.12,19.77,12.84,13.37
1958,6.0,7.6,6.6,11.1,15.1,17.3,19.6,19.5,18.4,13.7,8.9,7.0,6.85,10.93,18.81,13.68,12.59
1959,4.5,6.9,10.3,13.0,17.0,19.6,22.0,21.9,20.2,16.5,9.7,8.2,6.14,13.45,21.18,15.5,14.21
1960,6.2,6.6,8.6,12.9,16.9,20.5,18.8,18.9,16.7,12.9,9.8,6.2,7.03,12.78,19.37,13.14,12.92
1961,5.9,9.3,12.2,13.2,15.0,19.1,19.1,19.5,19.0,14.1,8.8,5.2,7.04,13.48,19.22,13.98,13.37
